,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,got_publications,got_coauthors
104,"Chief, Vaccine Branch, CCR, NCI, NIH",@mail.nih.gov,44528,lUihU3wAAAAJ,False,Immunology|vaccines|cancer immunotherapy|HIV/AIDS,Jay Berzofsky,https://scholar.google.com/citations?view_op=medium_photo&user=lUihU3wAAAAJ,0,0
105,Emory School of Medicine,@emory.edu,44430,XqnJ0pIAAAAJ,False,cancer|immunology,Vikas P. Sukhatme,https://scholar.google.com/citations?view_op=medium_photo&user=XqnJ0pIAAAAJ,0,0
106,"Professor of Pathology and Microbiology, NYU School of Medicine",@nyulangone.org,44375,LXjB988AAAAJ,False,Cancer|Immunology|Virology|Stem cells|Embryonic development,David E Levy,https://scholar.google.com/citations?view_op=medium_photo&user=LXjB988AAAAJ,0,0
107,"Duchossois Family Institute, University of Chicago",@uchicago.edu,44373,BtcDQ2IAAAAJ,False,Microbiome|Immunology|Infectious Diseases,Eric Pamer,https://scholar.google.com/citations?view_op=medium_photo&user=BtcDQ2IAAAAJ,0,0
108,Stanford University Professor,@stanford.edu,44214,Fgiy870AAAAJ,False,sleep|immunology|genetics|neuroscience|engineering,Emmanuel Mignot,https://scholar.google.com/citations?view_op=medium_photo&user=Fgiy870AAAAJ,0,0
109,,,43342,a6uNTPwAAAAJ,False,Immunology,Joseph H Phillips,https://scholar.google.com/citations?view_op=medium_photo&user=a6uNTPwAAAAJ,0,0
110,Georgia Institute of Technology,@gatech.edu,43275,H0fC2pEAAAAJ,False,chemical biology|synthetic and materials chemistry|immunology,MG Finn,https://scholar.google.com/citations?view_op=medium_photo&user=H0fC2pEAAAAJ,0,0
111,Altius Institute for Biomedical Research,@altius.org,43064,ZVqnchcAAAAJ,False,Genomics|Chromatin structure|Immunology|Hematopoiesis,Richard Sandstrom,https://scholar.google.com/citations?view_op=medium_photo&user=ZVqnchcAAAAJ,0,0
112,"Professor of Cancer, UNCC",@uncc.edu,42817,OkBo-hsAAAAJ,False,Cancer|Immunology|Mucin 1,Pinku Mukherjee,https://scholar.google.com/citations?view_op=medium_photo&user=OkBo-hsAAAAJ,0,0
113,"Professor, University of Chicago",@medicine.bsd.uchicago.edu,42760,VqskH6cAAAAJ,False,cancer|immunology,Thomas F Gajewski,https://scholar.google.com/citations?view_op=medium_photo&user=VqskH6cAAAAJ,0,0
114,"Professor of Pathology and Molecular Medicine, McMaster University",@mcmaster.ca,42714,2I2wcTMAAAAJ,False,Immunology|Inflammation and Vaccines,Jack Gauldie,https://scholar.google.com/citations?view_op=medium_photo&user=2I2wcTMAAAAJ,0,0
115,Rush,@rush.edu,42351,z1pCBWIAAAAJ,False,Immunology,Chuang Chen,https://scholar.google.com/citations?view_op=medium_photo&user=z1pCBWIAAAAJ,0,0
116,Deutsches Rheumaforschungszentrum Berlin,@drfz.de,42064,08HvTFwAAAAJ,False,Immunology,Andreas Radbruch,https://scholar.google.com/citations?view_op=medium_photo&user=08HvTFwAAAAJ,0,0
117,"Gene Center and Department of Biochemistry, Ludwig-Maximilians-University Munich",@genzentrum.lmu.de,42022,P2YZnjEAAAAJ,False,Immunology,Veit Hornung,https://scholar.google.com/citations?view_op=medium_photo&user=P2YZnjEAAAAJ,0,0
118,Professor of General Pathology,@unipg.it,41970,KETOMcYAAAAJ,False,Immunology|Microbiology|Medicine,Luigina Romani,https://scholar.google.com/citations?view_op=medium_photo&user=KETOMcYAAAAJ,0,0
119,"Dept. of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School …",@mh-hannover.de,41471,PNHtHtkAAAAJ,False,Hepatology|Gastroenterology|Immunology|Virology,Heiner Wedemeyer,https://scholar.google.com/citations?view_op=medium_photo&user=PNHtHtkAAAAJ,0,0
