,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
122766,Proximal radioulnar synostosis after repair of distal biceps brachii rupture by the two-incision technique. Report of four cases.,1990,JOSEPH M Failla and PETER C Amadio and BERNARD F Morrey and ROBERT D Beckenbaugh,,Clinical orthopaedics and related research,253,133-136,,,True,qYsb4KsAAAAJ:1yWc8FF-_SYC,265,,15139129844071701090,/scholar?cites=15139129844071701090,,,0,0,0
122767,Long-term trends in the incidence of distal forearm fractures,1998,LJ Melton III and PC Amadio and CS Crowson and WM O'fallon,8,Osteoporosis International,4,341-348,Springer-Verlag,,True,qYsb4KsAAAAJ:LkGwnXOMwfcC,229,,1921959528682238880,/scholar?cites=1921959528682238880,,,0,0,0
122768,The evolution of mating preferences and the paradox of the lek,1991,Mark Kirkpatrick and Michael J Ryan,350,,6313,33-38,Nature Publishing Group,,True,1WIPsm0AAAAJ:fPk4N6BV_jEC,1404,,7954305441583773212,/scholar?cites=7954305441583773212,,,0,0,0
122769,The túngara frog: a study in sexual selection and communication,1985,Michael J Ryan,,,,,University of Chicago Press,,True,1WIPsm0AAAAJ:yD5IFk8b50cC,1001,,12645373905070395135,/scholar?cites=12645373905070395135,,,0,0,0
122770,Directional patterns of female mate choice and the role of sensory biases,1992,Michael J Ryan and Anne Keddy-Hector,,American Naturalist,,4-35,University of Chicago Press,,True,1WIPsm0AAAAJ:dfsIfKJdRG4C,732,,14124482513766970026,/scholar?cites=14124482513766970026,,,0,0,0
122771,The role of body size. phylogeny. and ambient noise in the evolution of bird song,1985,Michael J Ryan and Eliot A Brenowitz,126,The American Naturalist,1,87-100,University of Chicago Press,,True,1WIPsm0AAAAJ:D03iK_w7-QYC,649,,88332752280183402,/scholar?cites=88332752280183402,,,0,0,0
122772,Sexual selection for sensory exploitation in the frog Physalaemus pustulosus,1990,Michael J Ryan and James H Fox and Walter Wilczynski and A Stanley Rand,343,Nature,6253,66-67,Nature Publishing Group,,True,1WIPsm0AAAAJ:4OULZ7Gr8RgC,595,,11553662169924107723,/scholar?cites=11553662169924107723,,,0,0,0
122773,Sexual selection. sensory systems and sensory exploitation,1990,Michael J Ryan,7,Oxford surveys in evolutionary biology,,157-195,,,True,1WIPsm0AAAAJ:a0OBvERweLwC,582,,4775570893082246944,/scholar?cites=4775570893082246944,,,0,0,0
122774,Species recognition and sexual selection as a unitary problem in animal communication,1993,Michael J Ryan and A Stanley Rand,47,Evolution,2,647-657,,,True,1WIPsm0AAAAJ:f2IySw72cVMC,537,,10863530420769307572,/scholar?cites=10863530420769307572,,,0,0,0
122775,Female mate choice in a neotropical frog,1980,Michael J Ryan,209,Science,4455,523,American Association for the Advancement of Science,,True,1WIPsm0AAAAJ:cFHS6HbyZ2cC,505,,18256180703316187261,/scholar?cites=18256180703316187261,,,0,0,0
122776,Bat predation and the evolution of frog vocalizations in the Neotropics,1981,Merlin D Tuttle and Michael J Ryan,214,Science,4521,677-678,American Association for the Advancement of Science,,True,1WIPsm0AAAAJ:pyW8ca7W8N0C,485,,3818423990289406428,/scholar?cites=3818423990289406428,,,0,0,0
122777,Sexual selection. receiver biases. and the evolution of sex differences,1998,Michael J Ryan,281,,5385,1999-2003,American Association for the Advancement of Science,,True,1WIPsm0AAAAJ:_xSYboBqXhAC,412,,1908912801187164562,/scholar?cites=1908912801187164562,,,0,0,0
122778,Patterns of advertisement call evolution in toads and chorus frogs,1995,Reginald B Cocroft and Michael J Ryan,49,,2,283-303,Academic Press,,True,1WIPsm0AAAAJ:dshw04ExmUIC,402,,13862987958124160330,/scholar?cites=13862987958124160330,,,0,0,0
122779,Accelerating loss of seagrasses across the globe threatens coastal ecosystems,2009,Michelle Waycott and Carlos M Duarte and Tim JB Carruthers and Robert J Orth and William C Dennison and Suzanne Olyarnik and Ainsley Calladine and James W Fourqurean and Kenneth L Heck Jr and A Randall Hughes and Gary A Kendrick and W Judson Kenworthy and Frederick T Short and Susan L Williams,106,Proceedings of the National Academy of Sciences,30,12377-12381,National Acad Sciences,,True,bVEVdsEAAAAJ:W7OEmFMy1HYC,2832,,14836194082206665574,/scholar?cites=14836194082206665574,,,0,0,0
122780,A global crisis for seagrass ecosystems,2006,Robert J Orth and Tim JB Carruthers and William C Dennison and Carlos M Duarte and James W Fourqurean and Kenneth L Heck and A Randall Hughes and Gary A Kendrick and W Judson Kenworthy and Suzanne Olyarnik and Frederick T Short and Michelle Waycott and Susan L Williams,56,Bioscience,12,987-996,American Institute of Biological Sciences,,True,bVEVdsEAAAAJ:9yKSN-GCB0IC,2685,,10701884175234812264,/scholar?cites=10701884175234812264,,,0,0,0
122781,The identification. conservation. and management of estuarine and marine nurseries for fish and invertebrates: a better understanding of the habitats that serve as nurseries …,2001,Michael W Beck and Kenneth L Heck and Kenneth W Able and Daniel L Childers and David B Eggleston and Bronwyn M Gillanders and Benjamin Halpern and Cynthia G Hays and Kaho Hoshino and Thomas J Minello and Robert J Orth and Peter F Sheridan and Michael P Weinstein,51,Bioscience,8,633-641,American Institute of Biological Sciences,,True,bVEVdsEAAAAJ:u-x6o8ySG0sC,2590,,4971621899724073161,/scholar?cites=4971621899724073161,,,0,0,0
122782,Assessing water quality with submersed aquatic vegetation,1993,William C Dennison and Robert J Orth and Kenneth A Moore and J Court Stevenson and Virginia Carter and Stan Kollar and Peter W Bergstrom and Richard A Batiuk,43,BioScience,2,86-94,American Institute of Biological Sciences. Oxford University Press,,True,bVEVdsEAAAAJ:JQOojiI6XY0C,1229,,6456302449757863982,/scholar?cites=6456302449757863982,,,0,0,0
122783,Faunal communities in seagrass beds: a review of the influence of plant structure and prey characteristics on predator-prey relationships,1984,Robert J Orth and Kenneth L Heck Jr and Jacques van Montfrans,7,Estuaries and Coasts,4A,339-350,Springer New York,,True,bVEVdsEAAAAJ:u5HHmVD_uO8C,1197,,4685927557158396298,/scholar?cites=4685927557158396298,,,0,0,0
122784,Critical evaluation of the nursery role hypothesis for seagrass meadows,2003,KL Heck Jr and G Hays and Robert J Orth,253,,,123-136,,,True,bVEVdsEAAAAJ:qjMakFHDy7sC,927,,16955705298350731048,/scholar?cites=16955705298350731048,,,0,0,0
122785,Chesapeake Bay: an unprecedented decline in submerged aquatic vegetation,1983,Robert J Orth and Kenneth A Moore,222,Science,4619,51-53,American Association for the Advancement of Science,,True,bVEVdsEAAAAJ:d1gkVwhDpl0C,713,,6137488083375692319,/scholar?cites=6137488083375692319,,,0,0,0
