Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
30633,NTT Communication Science Laboratories,@hco.ntt.co.jp,4704,nHCB2CkAAAAJ,{'indices'},Machine Learning|Data Mining|Combinatorial Optimization,Takeshi Yamada,https://scholar.google.com/citations?view_op=medium_photo&user=nHCB2CkAAAAJ,1144,28,16,42,18,0,1
30634,"Professor of Computer Science, Università Ca' Foscari Venezia, Italy",@unive.it,4703,njCMBiwAAAAJ,{'indices'},Data Mining|Information Retrieval|High Performance Computing,Salvatore Orlando,https://scholar.google.com/citations?view_op=medium_photo&user=njCMBiwAAAAJ,1545,35,19,98,45,0,1
30635,"Lecturer, University of California, Berkeley",@ischool.berkeley.edu,4690,rXhH4bkAAAAJ,{'indices'},Machine learning|data mining|big data analytics|operations research,James G Shanahan,https://scholar.google.com/citations?view_op=medium_photo&user=rXhH4bkAAAAJ,1515,25,17,46,24,0,1
30636,Beijing Jiaotong University,@bjtu.edu.cn,4686,LDHICsUAAAAJ,{'indices'},data mining|medical informatics|complex network,Xuezhong Zhou,https://scholar.google.com/citations?view_op=medium_photo&user=LDHICsUAAAAJ,2642,25,15,71,25,0,1
30637,"LASIGE, Departamento de Informática, Faculdade de Ciências, Universidade de Lisboa …",@campus.ul.pt,4673,9_78rfMAAAAJ,{'indices'},Text Mining|Data Mining|Knowledge Management|Biomedical Informatics|Bioinformatics,Francisco M Couto,https://scholar.google.com/citations?view_op=medium_photo&user=9_78rfMAAAAJ,2372,32,24,73,54,0,1
30638,Pennsylvania State University,@psu.edu,4672,cdT_WMMAAAAJ,{'indices'},Data mining|Machine learning|Deep Learning|Optimization,Suhang Wang,https://scholar.google.com/citations?view_op=medium_photo&user=cdT_WMMAAAAJ,4636,28,28,54,54,0,1
30639,"Associate Professor Department of Computer Science, University of Chile",@dcc.uchile.cl,4666,eZBFWGEAAAAJ,{'indices'},Social Networks|Data Mining|Web|Information Retrieval|Machine Learning,Barbara Poblete,https://scholar.google.com/citations?view_op=medium_photo&user=eZBFWGEAAAAJ,2974,20,14,31,19,0,1
30640,University of Belgrade in Serbia,@etf.rs,4665,qulgFtIAAAAJ,{'indices'},computer architecture|computer science|computer engineering|computer design|data mining,Veljko Milutinovic,https://scholar.google.com/citations?view_op=medium_photo&user=qulgFtIAAAAJ,1517,36,17,100,30,0,1
30641,Nanjing University,,4665,lWQK9CkAAAAJ,{'indices'},cloud computing|service computing|social network|data mining,Shaoqian Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=lWQK9CkAAAAJ,3016,27,23,79,42,0,1
30642,"Associate Professor, School of Computer Engineering, Iran University of Science and …",@iust.ac.ir,4663,M8tgU-wAAAAJ,{'indices'},Data Mining|Natural Language Processing|Machine Learning,Behrouz Minaei-Bidgoli,https://scholar.google.com/citations?view_op=medium_photo&user=M8tgU-wAAAAJ,2551,33,26,107,57,0,1
30643,"Institute of Data Science and School of Computing, National University of Singapore",@nus.edu.sg,4654,_wsommYAAAAJ,{'indices'},data mining|machine learning|artificial intelligence|natural language processing|smart cities,See-Kiong Ng,https://scholar.google.com/citations?view_op=medium_photo&user=_wsommYAAAAJ,1802,34,23,75,40,0,1
30644,"Department of Computer Science, University of Houston",@cs.uh.edu,4648,wUNpA_sAAAAJ,{'indices'},Computational Social Science|Data Mining|Natural Language Processing|Sentiment Analysis|Web Mining,Arjun Mukherjee,https://scholar.google.com/citations?view_op=medium_photo&user=wUNpA_sAAAAJ,3603,24,23,34,32,0,1
30645,"Professor and Chair, Health Informatics and Bioinformatics Graduate Program, Grand Valley …",@gvsu.edu,4638,ljkn_JsAAAAJ,{'indices'},Biomedical and Health Informatics|Bioinformatics|Artificial Intelligence|Data Mining|Information Systems,Guenter Tusch,https://scholar.google.com/citations?view_op=medium_photo&user=ljkn_JsAAAAJ,565,24,13,32,16,0,1
30646,"Associate Professor, Computer Science, Worcester Polytechnic Institute",@wpi.edu,4632,zQKRsSEAAAAJ,{'indices'},data science|data mining|social media mining|social computing|web mining,Kyumin Lee,https://scholar.google.com/citations?view_op=medium_photo&user=zQKRsSEAAAAJ,2952,23,20,33,31,0,1
