,author_1,author_2
82253,yGoUMzYAAAAJ,0BTS418AAAAJ
82254,yGoUMzYAAAAJ,OQbV_3UAAAAJ
82255,yGoUMzYAAAAJ,wJaNi8gAAAAJ
82256,yGoUMzYAAAAJ,xdeDO2kAAAAJ
82257,yGoUMzYAAAAJ,2kk77UgAAAAJ
82258,yGoUMzYAAAAJ,Y8FpsToAAAAJ
82259,yGoUMzYAAAAJ,55pOyCkAAAAJ
82260,yGoUMzYAAAAJ,UJ5fauIAAAAJ
82261,yGoUMzYAAAAJ,Z5xPRioAAAAJ
82262,yGoUMzYAAAAJ,ntns9UoAAAAJ
82263,6Wr2vN0AAAAJ,_xR5tL8AAAAJ
82264,6Wr2vN0AAAAJ,_yWr4LQAAAAJ
82265,6Wr2vN0AAAAJ,-UiCZtgAAAAJ
82266,6Wr2vN0AAAAJ,d9gOvWMAAAAJ
82267,6Wr2vN0AAAAJ,8enJumYAAAAJ
82268,6Wr2vN0AAAAJ,x2Fy2vgAAAAJ
82269,6Wr2vN0AAAAJ,P_O2j7IAAAAJ
82270,AY-DriwAAAAJ,9i2wHgMAAAAJ
82271,AY-DriwAAAAJ,-BFXfT0AAAAJ
82272,AY-DriwAAAAJ,fiLxb3oAAAAJ
82273,AY-DriwAAAAJ,LtMQmfYAAAAJ
82274,AY-DriwAAAAJ,l_rAgA4AAAAJ
82275,AY-DriwAAAAJ,FQi5DxAAAAAJ
82276,AY-DriwAAAAJ,RznCjloAAAAJ
82277,AY-DriwAAAAJ,unlWtY0AAAAJ
82278,AY-DriwAAAAJ,1ZexnpAAAAAJ
82279,AY-DriwAAAAJ,U2rvgmUAAAAJ
82280,AY-DriwAAAAJ,3Le9bawAAAAJ
82281,AY-DriwAAAAJ,MrD03xAAAAAJ
82282,AY-DriwAAAAJ,E6GRsP4AAAAJ
82283,AY-DriwAAAAJ,nl_OxoIAAAAJ
82284,AY-DriwAAAAJ,J8J7NvkAAAAJ
82285,AY-DriwAAAAJ,ieeSKDkAAAAJ
82286,AY-DriwAAAAJ,qjW0eEYAAAAJ
82287,AY-DriwAAAAJ,J718FGIAAAAJ
82288,AY-DriwAAAAJ,o4P-T2sAAAAJ
82289,AY-DriwAAAAJ,iuTH7hEAAAAJ
82290,DVftIaYAAAAJ,TXcWAw0AAAAJ
82291,DVftIaYAAAAJ,4ah5oHUAAAAJ
