Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
713322,"Carnegie Mellon, Lycos",,2862.0,-c4VXNEAAAAJ,{'indices'},nan,Michael Mauldin,nan,542.0,20,8,23,7,0,0
713323,"Professor of Computer Science, Princeton University",,15824.0,wC_ntLYAAAAJ,{'indices'},nan,Andrew W. Appel,nan,3195.0,54,27,124,60,0,0
713324,"Honorary Associate Professor, Macquarie University",,5896.0,Rje58OMAAAAJ,{'indices'},nan,Anthony Sloane,nan,1854.0,18,10,22,10,0,0
713325,"Research Scientist, Google",,3668.0,r5mA7Q8AAAAJ,{'indices'},nan,Peter Anderson,nan,3613.0,15,14,17,16,0,0
713326,"BWH-Harvard Medical School, Boston, MA",,260.0,94638dQAAAAJ,{'indices'},nan,Seyed Mostafa Mousavi Kahaki,nan,225.0,10,8,10,8,0,0
713327,Sharif University of Technology,,300.0,zVtFuB8AAAAJ,{'indices'},nan,Amir Hossein Ashtari,nan,262.0,7,6,5,5,0,0
713328,"Professor of Computer Science, Universiti Kebangsaan Malaysia",,2561.0,IGJPyUoAAAAJ,{'indices'},nan,Khairuddin Omar,nan,1450.0,25,20,65,34,0,0
713329,"Digital Forensics Lab, Center for Cyber Security, Faculty of Information Science and Technology",,1571.0,JAy-cHMAAAAJ,{'indices'},nan,Siti Norul Huda Sheikh Abdullah,nan,1038.0,19,15,41,23,0,0
713330,"ahvaz jundishapur university of medical science, Ahvaz, Iran",,149.0,IWEXiE8AAAAJ,{'indices'},nan,Amir Jamshidnezhad,nan,115.0,7,5,3,1,0,0
713331,Universiti Kebangsaan Malaysia,,102.0,x1JZd4MAAAAJ,{'indices'},nan,Ali Soleymani,nan,87.0,4,4,3,3,0,0
713332,Dr. Waidah Ismail,,338.0,ycFjyjwAAAAJ,{'indices'},nan,waidah ismail,nan,300.0,11,10,13,11,0,0
713333,"Professor of Computing & IT, King Abdulaziz University",,1450.0,Dfe6HvUAAAAJ,{'indices'},nan,Anton Satria Prabuwono,nan,882.0,20,13,47,27,0,0
713334,"Professor madya of Computer Science, UKM",,2321.0,gnsR3XcAAAAJ,{'indices'},nan,Zulaiha Ali Othman,nan,1616.0,21,18,73,42,0,0
713335,Kolej Universiti Islam Antarabangsa Selangor,,66.0,Rk0JPD8AAAAJ,{'indices'},nan,Khirulnizam Abd Rahman,nan,44.0,3,3,2,2,0,0
713336,National University of Malaysia,,74.0,aLynjwkAAAAJ,{'indices'},nan,SOPHIA JAMILA ZAHRA,nan,73.0,4,4,2,2,0,0
713337,National University of Malaysia,,1024.0,F7EEyZwAAAAJ,{'indices'},nan,Elankovan A Sundararajan,nan,829.0,14,14,19,15,0,0
713338,"Professor computer Engineering, Iran university of science and technology",,6556.0,CUHdgPcAAAAJ,{'indices'},nan,Mahmood Fathy,nan,3356.0,35,23,111,58,0,0
713339,"Professor of Computer Science, Universiti Kebangsaan Malaysia",,819.0,mwioX7IAAAAJ,{'indices'},nan,Abdullah Mohd. Zin,nan,324.0,14,9,26,9,0,0
713340,Professor,,857.0,mLbCXGEAAAAJ,{'indices'},nan,Zarina Shukur,nan,564.0,14,12,25,14,0,0
713341,"Associate Professor of Center for Artificial Intelligence Technology (CAIT), Faculty of Information",,979.0,Xy7OJkQAAAAJ,{'indices'},nan,SHAHNORBANUN SAHRAN,nan,697.0,16,14,30,21,0,0
713342,"Department of Informatics, Faculty of Industrial Engineering, UPN ""Veteran"" Yogyakarta",,70.0,5cmL_KsAAAAJ,{'indices'},nan,Awang Hendrianto Pratomo,nan,28.0,4,3,1,0,0,0
713343,Universiti Kebangsaan Malaysia (UKM),,23.0,cEVtqgcAAAAJ,{'indices'},nan,Ghassan Jasim AL-Anizy,nan,23.0,2,2,1,1,0,0
713344,"Universiti Kebangsaan Malaysia, Universiti Teknologi Malaysia, CyberSecurity Malaysia",,76.0,_pCBgr0AAAAJ,{'indices'},nan,Nazri Ahmad Zamani,nan,54.0,6,5,5,1,0,0
713345,Assistant Professor at Taiz University,,254.0,IHrBjIEAAAAJ,{'indices'},nan,Abduljalil Radman,nan,219.0,8,7,7,6,0,0
713346,Lecturer of computer science----Assiut University,,331.0,u9zFdY4AAAAJ,{'indices'},nan,Mohamed M. Darwish,nan,322.0,12,12,12,12,0,0
713347,Associate Professor in Najran University; Previously,,287.0,OjSGCAwAAAAJ,{'indices'},nan,Mohammed Ali Hafiz,nan,148.0,11,7,13,6,0,0
713348,"Professor, Department of Computer Science, International Hellenic University (IHU)",,2184.0,O9d4j7oAAAAJ,{'indices'},nan,George A. Papakostas,nan,1286.0,29,21,53,37,0,0
713349,"Professor, University of California at Merced; Research Scientist, Google",,73676.0,p9-ohHsAAAAJ,{'indices'},nan,Ming-Hsuan Yang,nan,50309.0,116,102,355,314,0,0
713350,The Hong Kong University of Science and Technology,,1411.0,X9lE6O4AAAAJ,{'indices'},nan,Wenxiu Sun,nan,1299.0,15,15,24,20,0,0
713351,Nanjing University of Science and Technology,,4599.0,CMsNjGIAAAAJ,{'indices'},nan,Jinshan Pan,nan,4481.0,29,29,41,41,0,0
713352,"Institute of Information Engineering, Chinese Academy of Sciences",,2635.0,VwfgfR8AAAAJ,{'indices'},nan,Wenqi Ren,nan,2607.0,21,20,33,33,0,0
713353,"Research Scientist, Google",,7418.0,t4rgICIAAAAJ,{'indices'},nan,Deqing Sun,nan,5849.0,30,29,40,38,0,0
713354,NVIDIA,,2196.0,j4pcHV4AAAAJ,{'indices'},nan,Sifei Liu,nan,2069.0,18,18,23,23,0,0
713355,"researcher of cv, sensetime research",,134.0,C70GBigAAAAJ,{'indices'},nan,Yongrui Ma,nan,134.0,2,2,2,2,0,0
713356,"An Wang Professor of Computer Science, Harvard University",,27053.0,VWX-GMAAAAAJ,{'indices'},nan,Hanspeter Pfister,nan,12189.0,82,54,273,207,0,0
713357,"Research Associate Professor, Carnegie Mellon University",,16578.0,YB8_6gkAAAAJ,{'indices'},nan,Fernando De la Torre,nan,10244.0,63,51,157,112,0,0
713358,"Systems Faculty in the Robotics Institute, Carnegie Mellon University",,1693.0,Wdnc-mEAAAAJ,{'indices'},nan,Laszlo A. Jeni,nan,1369.0,19,18,24,21,0,0
713359,"Research Scientist, Institut de Robotica i Informatica Industrial (UPC-CSIC)",,7437.0,iAEBIB4AAAAJ,{'indices'},nan,Francesc Moreno-Noguer,nan,5407.0,38,30,87,77,0,0
713360,Carnegie Mellon University,,17.0,tktqkhwAAAAJ,{'indices'},nan,Hao Chen,nan,17.0,3,3,0,0,0,0
713361,Nanyang Technological University,,28796.0,559LF80AAAAJ,{'indices'},nan,Chen Change Loy,nan,27049.0,72,71,135,133,0,0
713362,"PhD student of MMLab, The Chinese University of Hong Kong",,2191.0,FQgZpQoAAAAJ,{'indices'},nan,Xintao Wang,nan,2186.0,9,9,9,9,0,0
713363,Nanyang Technological University,,196.0,QYTu_KQAAAAJ,{'indices'},nan,Kelvin C.K. Chan,nan,196.0,3,3,3,3,0,0
713364,"Professor, Department of Electronic Engineering, Tsinghua University",,18494.0,i6ziL8oAAAAJ,{'indices'},nan,Yu-Jin ZHANG 章毓晋,nan,4826.0,57,28,204,75,0,0
713365,SenseBrain (SenseTime Research USA),,3792.0,k_T8t30AAAAJ,{'indices'},nan,Jinwei Gu,nan,2156.0,33,29,44,40,0,0
713366,Profesor de matemáticas (UIB),,4724.0,ppv8nmgAAAAJ,{'indices'},nan,Joan Torrens Sastre,nan,2255.0,39,25,91,64,0,0
713367,"Associate Professor (UIB, University of Balearic Islands)",,1140.0,C1tFE84AAAAJ,{'indices'},nan,Manuel González Hidalgo,nan,495.0,16,12,28,12,0,0
713368,Universitat de les Illes Balears,,1321.0,ni6u2xgAAAAJ,{'indices'},nan,Daniel Ruiz-Aguilera,nan,809.0,20,17,28,22,0,0
713369,Universitat de les Illes Balears,,682.0,HUsD1u4AAAAJ,{'indices'},nan,Juan Vicente Riera Clapes,nan,457.0,15,13,15,13,0,0
713370,University of Balearic Islands,,620.0,vm69CfAAAAAJ,{'indices'},nan,Arnau Mir Torres,nan,360.0,13,9,18,8,0,0
713371,University of the Balearics Islands,,115.0,St8ZpRgAAAAJ,{'indices'},nan,Pedro Bibiloni,nan,114.0,6,6,3,3,0,0
713372,"Professor of Computer Science and Artificial Intelligence, Spain, University of Granada",,40536.0,g8ZXTuYAAAAJ,{'indices'},nan,Enrique Herrera-Viedma,nan,22629.0,100,84,310,253,0,0
713373,"Faculty of Science and Technology, University of Silesia in Katowice, 40-007 Katowice, POLAND",,2355.0,Lf-B3_EAAAAJ,{'indices'},nan,Michal Baczynski,nan,1125.0,22,16,37,25,0,0
713374,"Departamento de Ciencias Matemáticas e Informática, Universitat de les Illes Balears and IdISBa",,1612.0,aQb2_5gAAAAJ,{'indices'},nan,O. Valero,nan,667.0,17,11,33,16,0,0
713375,"STU Bratislava, Slovakia, Faculty of Civil Engineering, Dept. Mathematics and Descriptive Geometry",,24767.0,_kXpl5YAAAAJ,{'indices'},nan,Radko Mesiar,nan,10578.0,64,42,332,217,0,0
713376,"Professor in Mathematics, Indian Institute of Technology Hyderabad",,2275.0,_bpGiksAAAAJ,{'indices'},nan,Balasubramaniam Jayaram,nan,1073.0,22,17,33,24,0,0
