,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
679450,"professeur associé, École de technologie supérieure",,2323,X1GJ1oYAAAAJ,{'indices'},,Jean-Marc Desharnais,,687,24,11,48,12,0,0
679451,"Full Professor in Computer Science, University of L'Aquila",,3767,5n9E1cMAAAAJ,{'indices'},,Henry Muccini,,1712,33,20,85,44,0,0
679452,An-Najah National University,,79,P4vK_ZUAAAAJ,{'indices'},,Mai Abusair,,79,6,6,3,3,0,0
679453,Katholieke Universiteit Leuven,,10212,MG8iJPAAAAAJ,{'indices'},,Danny Weyns,,5001,46,34,140,86,0,0
679454,Vienna University of Technology,,330,qkHucrkAAAAJ,{'indices'},,Juergen Musil,,237,10,8,11,8,0,0
679455,"Assistant professor, Vrije Universiteit Amsterdam",,2467,ya3htIoAAAAJ,{'indices'},,Ivano Malavolta,,1996,27,23,51,45,0,0
679456,"Associate Professor of Computer Science, Charles University",,2780,V5ILAxAAAAAJ,{'indices'},,Tomas Bures,,1092,26,16,70,40,0,0
679457,Professor of Computer Science,,9328,x8XlRFgAAAAJ,{'indices'},,Paola Inverardi,,2551,45,20,145,38,0,0
679458,Vienna University of Technology,,289,-GbIBV8AAAAJ,{'indices'},,Angelika Musil,,210,9,8,9,7,0,0
679459,"Professor in Software Engineering, Chalmers University, Sweden",,7020,yewx0GgAAAAJ,{'indices'},,Ivica Crnkovic,,1912,36,20,117,49,0,0
679460,"Professor, Babeș-Bolyai University, Faculty of Mathematics and Computer Science, Department of",,1071,lE3v1PsAAAAJ,{'indices'},,Bazil Pârv,,399,17,10,26,10,0,0
679461,"Lecturer of Computer Science, Babes-Bolyai University",,212,UCvfcrYAAAAJ,{'indices'},,Ioan Lazar,,60,7,4,7,1,0,0
679462,"Babeș-Bolyai University, Computer Science Department",,907,eSWofb8AAAAJ,{'indices'},,Istvan Gergely Czibula,,480,16,10,32,10,0,0
679463,Babeș-Bolyai University,,92,aPimZycAAAAJ,{'indices'},,Arthur Molnar,,88,5,5,2,2,0,0
679464,Babes-Bolyai University - Computer Science Dept.,,266,yp9tz7AAAAAJ,{'indices'},,Andreea Vescan,,93,8,5,5,0,0,0
679465,"Professor of Computer Science, Babeș-Bolyai University",,937,PmrtLngAAAAJ,{'indices'},,Horia F Pop,,221,16,6,23,4,0,0
679466,"Babes Bolyai University, Computer Science Departement",,101,UB5fIIwAAAAJ,{'indices'},,Camelia Serban,,55,6,4,2,0,0,0
679467,"Lecturer Professor, Babes-Bolyai University, Cluj-Napoca, Romania",,173,dmhIWHUAAAAJ,{'indices'},,Ioana Ciuciu,,96,6,5,4,2,0,0
679468,"Babeș-Bolyai University, Computer Science Department",,549,vkTFEd4AAAAJ,{'indices'},,Laura Diosan,,242,11,7,13,6,0,0
